monthly_income,fixed_expenses,total_emi,credit_card_outstanding,avg_interest_rate,active_loans,emi_income_ratio,expense_ratio,credit_utilization,interest_burden,loan_density,debt_stress_score
81615,28753.17555001663,21002.146834222596,319350.646980274,22.945471966487414,2,0.2573319467527121,0.35230258592190933,0.9782228970785823,0.22945471966487413,0.3333333333333333,82.32277380870194
147342,64641.51310223379,8890.871863091706,311047.6815939279,37.4080510372733,8,0.06034173462483003,0.43871749468741966,0.5277647948207705,0.37408051037273304,1.3333333333333333,93.9408920288633
109004,46525.52759532255,53228.26372432458,293141.08820954955,31.29110513976579,8,0.4883147749103205,0.42682403944187874,0.6723172732412332,0.3129110513976579,1.3333333333333333,100.0
150160,78120.29145088568,100244.43975837345,138329.1212551523,26.197147173261065,5,0.6675841752688696,0.5202470128588551,0.2303028790209648,0.26197147173261065,0.8333333333333334,100.0
51214,15872.562997801406,19984.633739307053,153725.96209620644,30.41546343093698,1,0.3902181774379477,0.30992625059166257,0.7504098591020347,0.3041546343093698,0.16666666666666666,81.97144492973722
59516,40355.52339507679,16467.57989475292,65828.19739489337,22.627706325819062,8,0.27669164417556485,0.6780617547395118,0.27651470778821396,0.22627706325819064,1.3333333333333333,88.15427406536257
148151,49009.773320135886,21150.812386057245,49487.23409790193,26.153229425506613,4,0.14276523537510544,0.3308096018260821,0.08350810000928433,0.26153229425506613,0.6666666666666666,47.30370902174661
224292,99810.83130707138,72265.13217896369,884807.8471115674,34.774949940411794,2,0.3221921966854087,0.44500397386920343,0.9862231456221883,0.3477494994041179,0.3333333333333333,89.23981304010418
148895,57347.29403046684,56218.41074690536,371198.70354402036,29.994031036657965,4,0.3775708435266823,0.3851525842403495,0.6232558238087584,0.29994031036657964,0.6666666666666666,93.75768646760096
196782,133804.03539172278,97189.45015960721,41819.08003202374,17.809843970232897,5,0.49389400534402134,0.6799607453513166,0.053128690672957564,0.17809843970232897,0.8333333333333334,77.12611366623881
193867,68978.68959720228,131292.7712985957,732854.6560081503,36.694030829319104,3,0.6772311496984825,0.35580418326585894,0.945048223792794,0.366940308293191,0.5,100.0
131052,50970.07346528817,45992.392240371024,388882.2373758787,24.00388300481138,5,0.35094765620037105,0.38893014578402596,0.7418472006834668,0.24003883004811383,0.8333333333333334,96.41316965698512
96763,39149.48135070227,25243.242146409488,116277.73775410592,12.79254901630256,2,0.26087701028708793,0.4045914383669612,0.30041890431803975,0.1279254901630256,0.3333333333333333,74.85989090940971
22238,13529.06138180104,8662.892583224897,40973.98610431581,34.23747605403638,7,0.3895535832010476,0.6083758153521468,0.46063029616327694,0.34237476054036375,1.1666666666666667,98.00820276146088
157076,86975.09331301798,89582.23061531373,590047.419995347,8.422953330284003,7,0.5703113818490013,0.5537134464400544,0.9391113537321855,0.08422953330284003,1.1666666666666667,100.0
54479,23389.3386179517,32527.191765312804,171441.18377137024,29.42733711320029,4,0.5970592662367665,0.42932760546176874,0.7867305923905094,0.2942733711320029,0.6666666666666666,100.0
84262,39002.782835120626,30187.07615891785,318030.80967071455,32.82297470782433,4,0.3582525475174794,0.46287511375377544,0.9435772046435954,0.3282297470782433,0.6666666666666666,93.89807132292283
29292,9674.901243762471,8928.231260591898,110090.20412223611,14.452150165665703,4,0.304801012583364,0.33029158964094196,0.9395927567444705,0.14452150165665703,0.6666666666666666,89.7838265613206
207707,89655.03568179224,89598.27747465255,154533.08393517742,35.43128798950518,6,0.43136859843266023,0.4316418593585784,0.18599888777843,0.3543128798950518,1.0,91.56461563827088
99784,49385.33017790123,32127.53271015912,7646.1138381377505,30.93208038057496,8,0.32197078399502044,0.4949223340204966,0.019156662987397155,0.3093208038057496,1.3333333333333333,83.77501506270625
208272,72741.25563224516,84944.35582633557,435364.37965554866,24.064336833350737,2,0.40785297988368846,0.3492608494288486,0.522591106408385,0.24064336833350736,0.3333333333333333,94.90791181980454
55392,28432.431721395977,8706.710323474363,86764.54888664547,40.059422517120794,1,0.15718353414706748,0.5132949112037113,0.3915933207261223,0.40059422517120796,0.16666666666666666,60.77073273466908
208151,118080.24608967274,73035.27736106144,322043.4768013991,25.495139454057952,5,0.3508764183744562,0.5672816661446389,0.3867906913747701,0.2549513945405795,0.8333333333333334,100.0
194520,57276.01650780215,81386.81066710365,167448.99150298847,7.412677531407063,4,0.4183981630017667,0.294447956548438,0.21520793684838124,0.07412677531407062,0.6666666666666666,76.8878493467017
228746,61198.66896047684,156585.55451439324,504570.74845731584,9.5100673666031,6,0.6845389843511722,0.2675398431468827,0.5514530838324122,0.09510067366603099,1.0,100.0
101631,60638.010436934994,28242.341049843235,76281.27612760579,38.942844024573304,7,0.2778910081554175,0.5966487630441006,0.18764273727407432,0.38942844024573303,1.1666666666666667,92.06994606159205
233950,100482.50852130342,94777.51593281902,421461.3409835521,31.275971808026537,3,0.4051186831922164,0.4295042039807797,0.4503754445218552,0.31275971808026537,0.5,87.93923421262537
27236,9046.620718092558,13683.754780471865,57384.6247904998,13.947186952268417,5,0.5024142598205267,0.33215673072744006,0.5267350637988306,0.13947186952268417,0.8333333333333334,100.0
137163,65755.86292626144,68289.91327422892,314612.4225752653,33.954141239880656,2,0.4978741590241459,0.4793994220472098,0.5734280064143852,0.33954141239880653,0.3333333333333333,84.05221515321709
54511,18702.53406606088,19591.299487093256,172290.40150419017,11.477773034151554,5,0.3594008454640945,0.3430965138423599,0.7901634601465308,0.11477773034151553,0.8333333333333334,87.51501040142567
143691,51275.58193372549,95032.58008865181,471684.7847573986,8.811585079043283,6,0.6613676576031332,0.35684616248564965,0.8206581914618846,0.08811585079043283,1.0,100.0
21862,10758.449432549307,8365.49994638389,21178.67173270834,7.2161855334385026,7,0.3826502582738949,0.4921072835307523,0.24218589027431547,0.07216185533438503,1.1666666666666667,91.7311250235132
206061,93215.20320421593,127462.0128349335,318945.5502278746,7.145605580080753,1,0.6185644679727532,0.45236703308348464,0.3869552586708239,0.07145605580080754,0.16666666666666666,85.30516948468421
91975,29131.483892879183,17015.55323948261,265357.4175273568,16.365578529521567,2,0.18500193791228717,0.3167326327032257,0.7212759378291841,0.16365578529521568,0.3333333333333333,58.51649602036903
198851,122225.88284555257,21708.962570489224,103139.75107338912,30.78588686299823,5,0.10917200602707165,0.6146606396022779,0.1296696409288728,0.3078588686299823,0.8333333333333334,73.25072381218128
231247,58902.6785962118,50871.42444179058,695809.5417862916,39.81208866860163,8,0.219987392017153,0.2547175902658707,0.7522362904019205,0.3981208866860163,1.3333333333333333,86.55973718368493
98229,46591.222356813705,54415.23049406866,222017.91948066727,17.633773396348115,2,0.5539629894844563,0.4743122943001935,0.5650518672710383,0.17633773396348115,0.3333333333333333,100.0
46570,23565.683173948008,32168.073091393595,69525.72269671514,30.79189887070515,6,0.6907466843760703,0.5060271241990124,0.37323235289196444,0.3079189887070515,1.0,100.0
103096,30072.385146792592,47570.53060033499,115830.51584013543,16.499121877490445,4,0.461419750527033,0.291693035101193,0.28088023744892,0.16499121877490444,0.6666666666666666,80.47597965015848
200720,99608.00168808825,103489.0074808606,416176.2338822578,32.67538061167722,1,0.5155889173020157,0.49625349585536194,0.5183542171710066,0.3267538061167722,0.16666666666666666,100.0
189722,97479.92359829434,81355.85117655898,476625.45212797273,32.03137370047122,3,0.4288161160885874,0.5138040058522171,0.6280577003826292,0.3203137370047122,0.5,86.15578336282023
46953,23633.176472442505,21395.764177191944,129908.24810949466,22.112284023439393,6,0.4556847097563935,0.5033368788457075,0.6916930127440987,0.22112284023439394,1.0,94.56775717497075
120411,63537.599712368385,39124.93443549491,304655.42374958633,38.64429907203593,4,0.32492824107012575,0.5276727185420633,0.632532376090196,0.38644299072035926,0.6666666666666666,89.33265805553172
225143,135094.13703522086,30993.638009284507,865804.2592982177,25.557188513204682,4,0.13766201040798295,0.6000370299552767,0.9613937134379236,0.2555718851320468,0.6666666666666666,79.01962798833584
185666,124197.48403879035,52514.997559405754,543200.2526730688,25.329780517991193,3,0.2828466038984292,0.6689296049830898,0.7314212789001067,0.2532978051799119,0.5,84.71965101822103
98776,31859.211449681472,8325.954044082859,18575.089557159004,40.19499036205515,5,0.08429126553092714,0.3225400041475811,0.04701316503290021,0.4019499036205515,0.8333333333333334,43.03927964073822
54428,26057.85425686397,6918.309511140452,46761.892662350794,33.70752254733793,7,0.1271093832428245,0.4787582541497753,0.21478785120871055,0.3370752254733793,1.1666666666666667,84.96379300026503
184943,129394.21139839644,14990.108827953769,288102.6548604781,25.86698452385726,7,0.08105258824585829,0.6996437356287961,0.3894479040305366,0.25866984523857256,1.1666666666666667,82.16448890568641
